Area,TrackID,Class,Timestamp
1,17,car,2025-07-08 16:25:31
4,16,car,2025-07-08 16:25:32
1,20,car,2025-07-08 16:25:32
2,33,car,2025-07-08 16:25:33
1,15,car,2025-07-08 16:25:35
3,1,truck,2025-07-08 16:25:35
3,20,car,2025-07-08 16:25:37
1,28,car,2025-07-08 16:25:37
3,67,car,2025-07-08 16:25:38
2,15,car,2025-07-08 16:25:39
2,67,car,2025-07-08 16:25:39
1,24,car,2025-07-08 16:25:40
3,28,car,2025-07-08 16:25:41
1,63,car,2025-07-08 16:25:42
3,96,car,2025-07-08 16:25:44
1,90,car,2025-07-08 16:25:44
2,97,car,2025-07-08 16:25:45
3,24,car,2025-07-08 16:25:45
1,59,car,2025-07-08 16:25:46
3,90,car,2025-07-08 16:25:47
